@relation train

@attribute Document string
@attribute NumberOfNouns numeric
@attribute NumberOfVerbs numeric
@attribute NumberOfPronouns numeric
@attribute TweetLength numeric
@attribute NumberOfWords numeric
@attribute NumberOfHashTag numeric
@attribute Class {1, 0}

@data
"#nswfires #NSWRFS #Blaxland MT riverview us now probably better prepared for a fire than it has ever been. Risk reduced in the last week","8","6","2","136","24","3","1"
"RT @Vixi_Darling: Laffy!! #RedOctober","3","1","0","37","4","1","0"
"US Headline: Bangladesh collapse toll passes 400 http://t.co/y0080qPuxA","6","1","0","71","11","0","1"
"RT @STcom: PICTURES: 87 dead in #Bangladesh garment factory collapse http://t.co/WNe42ReRNq http://t.co/ddlFhM7x01","8","0","0","114","18","1","1"
"RT @moftasa: 804 people killed in the collapse of the Bangladesh factory. Probably one of the largest industrial disasters ever.  http://t.…","7","2","0","142","22","0","1"
"RT @htTweets: 500 feared dead in Bangladesh building collapse as pope slams 'slave labour' http://t.co/1xDsAQTA5b #ht","9","2","0","117","19","1","1"
"#rescueph sex might possibly be nice to this day ! http://t.co/RJGAm4ez","4","2","0","71","13","1","0"
"Oh Paul, you always were my favourite Beatle. :-))  #LacMégantic http://t.co/MbZqhZw1KO","4","1","1","88","14","1","0"
"RT @latercera: Shoa publica horas estimadas para arribo a las costas chilenas de tsunami por terremoto 7,6º Richter en Costa Rica http:/ ...","10","3","0","141","23","0","1"
"RT @smh: The entire Blue Mountains area as well as Penrith and Richmond are in danger of burning over the next few days. #nswfires","11","2","0","130","24","1","1"
"RT @ELDEBATE: Por si no te enteraste: 'El abrazo de la muerte' conmueve al mundo http://t.co/3H73gNj5bd #Fotografía #Bangladesh http://t.co…","8","3","1","143","25","2","0"
"Russian Meteor Pieces 2013 Crumb Boss TV: All recipes found on http://t.co/Bz1Nksu4AU Check out the link below f...","9","1","0","115","21","0","1"
"【#USGS #alert】 M 1.6, Central California: September 07, 2012 00:26:08 GMT http://t.co/jP1z9llB #earthquake #tsunami #prayfromjapan","15","0","0","134","21","4","0"
"RT @webarticulista: No es primera vez que Chávez tarda en aparecer. No es miedo, es el puro estilo castrista. Hacerse desear, rogar. #Amuay","8","4","0","140","24","1","0"
"RT @garciabanchs: Chávez no confió universidades más capacitadas para substituir a trabajadores botados #Amuay (O'Donnell http://t.co/TL ...","8","2","0","143","22","1","0"
"#RussianMeteor Lol.  Caught in the act! http://t.co/fWTvnIt4","4","0","0","60","10","1","0"
"Si Habagat, pinu-pull closer pa si #MaringPH","0","0","0","44","8","1","0"
"#Earthquake Magnitude  ML 2.6Region  CANARY ISLANDS, SPAIN REGIONDate time  2012-09-15   03:50:39.2 UTCLocation ... http://t.co/Yqm6gfeB","9","0","0","143","22","1","0"
"RT @reporterremoto: #terremoto M 5.0, Solomon Islands http://t.co/2hbpeAgs #earthquake","10","0","0","86","13","2","0"
"Alluvione Sardegna 2013, video. Oggi ancora piogge: a Bonorva scuole chiuse http://t.co/oyoFWGinvy #ForzaSardegna #allertameteoSAR #maltempo","8","2","0","140","18","3","1"
"#JuliaMontesOnASAPDiyesIsIt #Pasay #pinoy #philippines We(2)Love(4)You(3)=243 #Mentaphone #Anonym https://t.co/GDyRP2TmDp","9","1","0","121","17","6","0"
