243367657112481792	RT @latercera: Shoa publica horas estimadas para arribo a las costas chilenas de tsunami por terremoto 7,6º Richter en Costa Rica http:/ ...	Caution and advice	Related and informative	1	es	COS	10	3	0	141	23	0
332941863424233476	RT @ELDEBATE: Por si no te enteraste: 'El abrazo de la muerte' conmueve al mundo http://t.co/3H73gNj5bd #Fotografía #Bangladesh http://t.co…	Not labeled	Not applicable	0	es	SVR	8	3	1	143	25	2
326399864885899264	Presentan cargos contra Tsarnaev. Será acusado como terrorista y podría enfrentar pena de muerte || http://t.co/QMBTml4w7y	Not labeled	Not applicable	0	es	BOB	7	3	0	124	19	0
239548072206692352	RT @webarticulista: No es primera vez que Chávez tarda en aparecer. No es miedo, es el puro estilo castrista. Hacerse desear, rogar. #Amuay	Not labeled	Not related	0	es	VNZ	8	4	0	140	24	1
243010205917523968	RT @garciabanchs: Chávez no confió universidades más capacitadas para substituir a trabajadores botados #Amuay (O'Donnell http://t.co/TL ...	Not labeled	Not related	0	es	VNZ	8	2	0	143	22	1
239917229704089601	#Amuay QEPD... Buenas Noches!	Sympathy and support	Related - but not informative	1	es	VNZ	5	0	0	29	4	1
243451207652343809	Subí un video a @YouTube http://t.co/sGUoNzKd 1/3 TERREMOTO 7,6 COSTA RICA - 5 DE SEPTIEMBRE 2012 - Re	Other Useful Information	Related and informative	1	es	COS	7	0	0	103	21	0
240511449334706176	RT @VTVcanal8: IMAGEN - Misión Cumplida: Bomberos, voluntarios y profesionales que extinguieron el fuego en la refinería de Amuay http:/ ...	Sympathy and support	Related and informative	1	es	VNZ	12	1	1	142	21	0
332965968097734656	Tamerlan Tsarnaev fue enterrado en un cementerio musulmán de Virginia: Los restos de Tamerlan Tsarnaev, presun... http://t.co/iXIjooNR7s	Not labeled	Not applicable	0	es	BOB	8	1	0	137	21	0
266219601002647552	Nada mejor que empezar el dia con un #temblor #sismo ...	Not labeled	Not related	0	es	GAU	6	1	0	56	10	2
266596404695298050	Ascienden 52 los muertos y 1,2 millones de afectados por terremoto en Guatemala:      La cifra de muertos por el... http://t.co/YyCHBArU	Affected individuals	Related and informative	1	es	GAU	8	1	0	136	24	0
396410625229742080	RT @elcomercio: Estados Unidos: Reportan tiroteo en aeropuerto de Los Ángeles http://t.co/uDbkxpe3Gt  #LAX	Not labeled	Not applicable	0	es	LAX	10	0	0	107	16	1
243740492968378369	@noticiarepretel así quedaron mas de 40 tumbas en cementerio de Grecia luego de #terremotocr http://t.co/aKxDRJzP	Infrastructure and utilities	Not related	0	es	COS	5	1	0	114	18	1
332530251236245505	“El abrazo de la muerte” en #Bangladesh http://t.co/la37Z0ymq7 :(	Not labeled	Not applicable	0	es	SVR	4	0	0	69	11	1
