3974	bn:03420522n	http://dbpedia.org/resource/Fossa,_Abruzzo	Fossa,_Abruzzo http://dbpedia.org/resource/Category:Fossa,_Abruzzo http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/Location http://schema.org/Place http://dbpedia.org/resource/Italy http://dbpedia.org/resource/Fossa,_Abruzzo http://dbpedia.org/ontology/Settlement http://dbpedia.org/ontology/PopulatedPlace
3975	bn:00115155r	[]	[]
3976	bn:00000539n	http://dbpedia.org/resource/Actinium	http://dbpedia.org/resource/Category:Actinium http://dbpedia.org/resource/Category:Chemical_elements http://dbpedia.org/resource/Category:Actinides Actinium http://dbpedia.org/resource/Actinium http://dbpedia.org/ontology/MilitaryUnit
3977	bn:00013590n	http://dbpedia.org/resource/Pail_(container)	Pail_(container) http://dbpedia.org/resource/Pail_(container) http://dbpedia.org/resource/Category:Containers
3978	bn:00017982n	http://dbpedia.org/resource/Chechnya	http://dbpedia.org/ontology/Place Chechnya http://dbpedia.org/ontology/Location http://dbpedia.org/resource/Category:Islam_in_Russia http://dbpedia.org/resource/Russia http://dbpedia.org/ontology/AdministrativeRegion http://dbpedia.org/resource/Chechnya http://dbpedia.org/resource/Category:States_and_territories_established_in_1993 http://dbpedia.org/resource/Category:1993_establishments_in_Russia http://schema.org/Place http://dbpedia.org/resource/Category:Regions_of_Europe_with_multiple_official_languages http://dbpedia.org/resource/Category:North_Caucasus http://dbpedia.org/resource/Category:Chechnya http://dbpedia.org/resource/Category:North_Caucasian_Federal_District http://dbpedia.org/ontology/Region http://dbpedia.org/ontology/PopulatedPlace http://schema.org/AdministrativeArea http://dbpedia.org/resource/Category:Chechen-speaking_countries_and_territories
3979	bn:00077086n	http://dbpedia.org/resource/Throne	http://dbpedia.org/resource/Category:Regalia http://dbpedia.org/resource/Category:Thrones http://dbpedia.org/resource/Category:Monarchy http://dbpedia.org/ontology/Settlement Throne http://dbpedia.org/resource/Throne
3980	bn:00596388n	http://dbpedia.org/resource/Olympic_Station	http://dbpedia.org/resource/Olympic_Station http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/Location http://dbpedia.org/resource/Category:MTR_stations http://dbpedia.org/resource/Category:Railway_stations_opened_in_1998 http://dbpedia.org/ontology/Infrastructure http://dbpedia.org/ontology/Station http://dbpedia.org/ontology/ArchitecturalStructure http://schema.org/Place http://dbpedia.org/resource/Category:Tung_Chung_Line http://dbpedia.org/resource/Category:Tai_Kok_Tsui http://dbpedia.org/resource/Category:Yau_Tsim_Mong_District Olympic_Station
3981	bn:01794635n	http://dbpedia.org/resource/Angat_Dam	http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/Location http://dbpedia.org/resource/Category:Hydroelectric_power_plants_in_the_Philippines Angat_Dam http://dbpedia.org/resource/Category:Buildings_and_structures_in_Bulacan http://dbpedia.org/ontology/Infrastructure http://dbpedia.org/resource/Angat_Dam http://dbpedia.org/ontology/ArchitecturalStructure http://dbpedia.org/resource/Category:Sierra_Madre_(Philippines) http://dbpedia.org/ontology/Dam http://schema.org/Place http://dbpedia.org/resource/Category:Dams_in_the_Philippines http://dbpedia.org/resource/Category:Dams_completed_in_1967
3982	bn:00091330v	[]	[]
3983	bn:00091813v	[]	[]
